194087,AAA,2018,Vidnovlenja zasobiv transportu fulerenovmisnimi epoksikompozitami,"[BUKETOV, Andrij V. - SAPRONOV, Oleksandr O. - BRAILO, Mykola V. - BUKETOVA, Natalija M. - DULEBOVÁ, Ľudmila - ALEKSENKO, Viktor L. - YATSYUK, Vitalij M.]",A. V.  Buketov ... [et al.],0
201730,AAA,2018,Inteligent industrial engineering - Innovation potential,"[DANESHJO, Naqibullah - RUDY, Vladimír - REPKOVÁ ŠTOFKOVÁ, Katarína - MAREŠ, Albert - KOVÁČ, Juraj - JAHNÁTEK, Andrej - KRIVOSUDSKÁ, Jana - ŠMAJDA, Norbert - RUSNÁK, Ján]",Naqib Daneshjo ... [et al.],0
202706,AAA,2018,Controlling inovácií priemyselných podnikov,"[KÁDÁROVÁ, Jaroslava - KÁDÁR, Gabriel - KOBULNICKÝ, Ján]","Jaroslava Kádárová, Gabriel Kádár, Ján Kobulnický",0
203561,AAA,2018,Biodobriva ta biopalivo,"[JAKUŠKO, S.I. - OSTROGA, R.O. - BOCKO, Jozef]","S.I. Jakuško, R.O. Ostroga, J. Bocko",0
194888,AAA,2019,Cognitive Multi-agent Systems,"[HAJDUK, Mikuláš - HAUN, Matthias - SUKOP, Marek]","Marek Sukop, Mikuláš Hajduk, Matthias Haun",1
203931,AAA,2019,Krízové manažérstvo,"[ORAVEC, Milan - KOVÁČOVÁ, Lucia - ADAMEC, Vilém - BRUMAROVÁ, Lenka]",Milan Oravec ... [et al.],0
206179,AAA,2019,Riadenie a ekonomika podnikov,"[KÁDÁROVÁ, Jaroslava - JANEKOVÁ, Jaroslava]","Jaroslava Kádárová, Jaroslava Janeková",0
51678,AAB,1988,Prognóza automatizácie výrobných procesov a systémov a podporných inžinierskych nástrojov :,"[BUDA, Ján - BADIDA, Miroslav - MODRÁK, Vladimír]","Ján Buda, Miroslav Badida, Vladimír Modrák",0
86973,AAB,1989,Automatizácia technologických pracovísk v plošnom tvárnení,"[BLAŠČÍK, František - KMEC, Ján]","František Blaščík, Ján Kmec",1
20240,AAB,1994,Metóda konečných prvkov 1,"[IVANČO, Vladimír - KUBÍN, Karol - KOSTOLNÝ, Karol]","Vladimír Ivančo, Karol Kubín, Karol Kostolný",12
